ID_RESIDENCIA;PRECO;AREA;QUARTOS;BANHEIROS;ANDARES;FLAG_CENTRO;FLAG_QUARTO_HOSPEDE;FLAG_PORAO;FLAG_AGUA_MORNA;FLAG_AR_CONDICIONADO;VAGAS_ESTACIONAMENTO;FLAG_AREA_PREFERENCIAL;MOBILIADA
A1;13300000;7420;4;2;3;SIM;NAO;NAO;;SIM;2;SIM;SIM
A2;12250000;8960;4;4;4;SIM;NAO;;NAO;SIM;3;NAO;SIM
A3;12250000;9960;;2;2;SIM;NAO;SIM;NAO;NAO;2;SIM;PARCIALMENTE
A4;12215000;7500;4;2;2;SIM;NAO;SIM;NAO;SIM;3;SIM;SIM
A5;11410000;7420;4;1;2;SIM;SIM;SIM;NAO;SIM;2;NAO;SIM
A6;10850000;7500;3;3;1;SIM;NAO;SIM;NAO;SIM;2;SIM;PARCIALMENTE
A7;10150000;8580;4;3;4;SIM;NAO;NAO;NAO;SIM;2;SIM;PARCIALMENTE
A8;10150000;16200;5;3;2;SIM;NAO;NAO;NAO;NAO;0;NAO;NAO
A9;9870000;8100;4;1;2;SIM;SIM;SIM;NAO;SIM;2;SIM;SIM
A10;9800000;5750;;;4;SIM;SIM;NAO;NAO;SIM;1;SIM;NAO
A11;9800000;13200;3;1;2;SIM;NAO;SIM;;SIM;2;SIM;SIM
A12;9681000;6000;4;3;2;SIM;SIM;SIM;SIM;NAO;;NAO;PARCIALMENTE
A13;9310000;6550;;2;2;SIM;NAO;NAO;NAO;SIM;1;SIM;
A14;9240000;3500;4;;2;SIM;NAO;NAO;SIM;NAO;2;NAO;SIM
A15;9240000;7800;3;2;2;SIM;NAO;NAO;NAO;NAO;0;SIM;PARCIALMENTE
A16;9100000;6000;4;1;2;SIM;NAO;SIM;NAO;NAO;2;NAO;PARCIALMENTE
A17;9100000;6600;4;2;2;SIM;SIM;SIM;NAO;SIM;1;SIM;NAO
A18;8960000;8500;3;2;4;SIM;NAO;NAO;NAO;SIM;2;NAO;SIM
A19;8890000;4600;3;2;2;SIM;SIM;NAO;NAO;SIM;2;NAO;SIM
A20;8855000;6420;3;2;2;SIM;NAO;NAO;NAO;SIM;1;SIM;PARCIALMENTE
A21;8750000;4320;3;1;2;SIM;NAO;SIM;SIM;NAO;2;NAO;PARCIALMENTE
A22;8680000;7155;3;2;1;SIM;SIM;SIM;NAO;SIM;2;NAO;NAO
A23;8645000;8050;3;1;1;SIM;SIM;SIM;NAO;SIM;1;NAO;SIM
A24;8645000;4560;3;;2;SIM;SIM;SIM;NAO;SIM;1;NAO;SIM
A25;8575000;8800;3;2;2;SIM;NAO;NAO;NAO;SIM;2;NAO;SIM
A26;8540000;6540;4;2;2;SIM;SIM;SIM;NAO;SIM;2;SIM;SIM
A27;8463000;6000;3;2;4;SIM;SIM;SIM;NAO;SIM;0;SIM;PARCIALMENTE
A28;8400000;8875;3;1;1;SIM;NAO;NAO;NAO;NAO;1;NAO;PARCIALMENTE
A29;8400000;7950;;;2;SIM;NAO;;SIM;NAO;2;NAO;NAO
A30;8400000;5500;4;;2;SIM;NAO;SIM;NAO;SIM;1;SIM;PARCIALMENTE
A31;8400000;7475;3;2;4;SIM;NAO;NAO;NAO;SIM;2;NAO;NAO
A32;8400000;7000;3;;4;SIM;NAO;NAO;NAO;SIM;2;NAO;PARCIALMENTE
A33;8295000;4880;4;2;2;SIM;NAO;NAO;NAO;SIM;1;SIM;SIM
A34;8190000;5960;3;;2;SIM;SIM;SIM;NAO;NAO;1;NAO;NAO
A35;8120000;6840;5;;2;SIM;SIM;SIM;NAO;SIM;1;NAO;SIM
A36;8080940;7000;3;2;4;SIM;NAO;NAO;NAO;SIM;2;NAO;SIM
A37;8043000;7482;3;2;3;SIM;NAO;NAO;SIM;NAO;1;SIM;SIM
A38;7980000;9000;4;2;4;SIM;NAO;NAO;NAO;SIM;2;NAO;SIM
A39;7962500;6000;3;1;4;SIM;SIM;NAO;NAO;SIM;2;NAO;NAO
A40;7910000;6000;4;;4;SIM;NAO;NAO;NAO;SIM;1;NAO;PARCIALMENTE
