PRECO;PRECO_ESTIMADO
13300000;7954877.709487067
12250000;10135535.201580113
12250000;7511338.270623026
12215000;8163077.828095373
11410000;7124992.358457278
10850000;7726102.3490178585
10150000;9408948.984456517
10150000;7977856.980985235
9870000;7826353.221306938
9800000;7167171.66336944
9800000;8417502.215738898
9681000;7282166.087750176
9310000;6592338.432533715
9240000;4977295.317700094
9240000;5888847.233093718
9100000;5394761.587339507
9100000;7448946.826633677
8960000;8196779.013240574
8890000;6586602.752699951
8855000;6561187.169555655
8750000;5427485.487954225
8680000;6652816.287441485
8645000;6272240.992043668
8645000;6045315.852568109
8575000;7049933.6253190525
8540000;8169628.026592877
8463000;8407760.157053579
8400000;4588076.252826355
8400000;5527228.090301348
8400000;6203378.901944168
8400000;7522608.832301075
8400000;6969901.1416781675
8295000;6430359.244643697
8190000;5255718.216826903
8120000;6767350.016253824
8080940;7837341.363493723
8043000;7402005.959778754
7980000;8404436.031191442
7962500;6995166.395699419
7910000;6511616.257545594
7875000;6210986.797188013
7840000;7609388.58989297
7700000;7284181.857968997
7700000;6838692.1490124
7560000;7379056.4793611495
7560000;6224991.03926097
7525000;7291212.011325899
7490000;7869321.409839575
7455000;4314846.004434975
7420000;6924720.924004218
7420000;7049615.174542362
7420000;6501649.946955493
7350000;7922151.026033229
7350000;7243684.668013049
7350000;6465223.3793341955
7350000;5205038.871639452
7343000;6930233.673049249
7245000;8872937.868154759
7210000;7477852.611064362
7210000;7117216.5969753135
7140000;5768705.057441747
7070000;4891443.979846118
7070000;6217833.585449755
7035000;7700875.103665959
7000000;6709886.424972024
6930000;7254491.698189624
6930000;6701991.455941184
6895000;5051906.781064318
6860000;4746022.673496897
6790000;7768042.144871035
6790000;6166682.492848139
6755000;5926907.812389409
6720000;6142646.5414839685
6685000;7374428.1411454305
6650000;5204236.46845778
6650000;4396051.628105758
6650000;7014399.6369474
6650000;7033569.644933898
6650000;6403691.793948388
6650000;6918435.846725942
6629000;5570074.881077864
6615000;5934770.950220311
6615000;7265229.443608605
6580000;6117267.537173752
6510000;4801403.114828072
6510000;6914497.774674138
6510000;5232143.175377611
6475000;4208715.456713094
6475000;6535246.521840205
6440000;5759296.756511571
6440000;4658909.519471627
6419000;6021285.619636375
6405000;7240252.1858639065
6300000;6705213.315417996
6300000;6532187.89667581
6300000;6382711.854254808
6300000;5492183.510946642
6300000;6264925.111493662
6293000;6628977.701304537
6265000;6194425.690418677
6230000;5902137.10065431
6230000;4951781.808575068
6195000;7564143.747289469
6195000;7002304.631666873
6195000;6526688.67390525
6160000;5479625.694607308
6160000;5992616.896703235
6125000;5664129.217640465
6107500;4544366.201183495
6090000;6527057.498239649
6090000;5922836.06190405
6090000;6411096.126891581
6083000;4925627.253618625
6083000;6253759.577515189
6020000;4969687.043025588
6020000;6954829.523560226
6020000;5820600.8553833105
5950000;5128686.165191245
5950000;5570469.075274507
5950000;6176902.379053538
5950000;6058808.816707067
5950000;6766915.776052272
5950000;5795261.407411689
5950000;5473606.119038448
5950000;6570146.606051956
5943000;7202577.6234204415
5880000;5235727.378317868
5880000;5349509.43533433
5873000;6237687.3273313595
5873000;7271160.101061996
5866000;4061882.3897506353
5810000;5922628.244782411
5810000;5316200.998373319
5810000;4942146.765621232
5803000;5475591.555164465
5775000;6556153.305376823
5740000;5894498.300315624
5740000;4270474.882011777
5740000;4571757.656514624
5740000;6712194.620629894
5740000;6508228.285410576
5652500;7045010.2035506945
5600000;6391767.928045471
5600000;5677960.989854279
5600000;6166707.834579732
5600000;5331474.376242961
5600000;4889622.5720168585
5600000;4799293.70851746
5600000;5436063.587249521
5600000;5571667.439616705
5600000;5986696.999086243
5565000;5754403.227245739
5565000;6654201.415124676
5530000;4046920.8450867436
5530000;4968995.778502859
5530000;6127369.18713191
5523000;5381715.087180239
5495000;5436277.142243462
5495000;4680116.040813992
5460000;5508663.711556697
5460000;6948878.083638533
5460000;6613373.929857928
5460000;6724128.445224231
5425000;6060261.526585345
5390000;7119497.251299897
5383000;5697492.301861277
5320000;6085605.764102306
5285000;4478857.057241619
5250000;5211673.991645319
5250000;4815988.372762705
5250000;4681819.566802677
5250000;5460529.436955515
5250000;7381841.829608573
5250000;5186576.621688294
5250000;5276543.796155857
5250000;7073629.157172278
5250000;5656382.177408198
5243000;4634939.205651611
5229000;6039054.2353222
5215000;4856371.98158218
5215000;5539777.493088052
5215000;6027931.271973874
5145000;3978117.342255692
5145000;4912027.58344182
5110000;5385568.083625009
5110000;3696829.1223177803
5110000;6099309.675219446
5110000;5343438.782535621
5075000;5091651.193494942
5040000;3650526.22026335
5040000;6133138.012534159
5040000;6363241.130509954
5040000;5460177.81802376
5033000;3760349.7973143146
5005000;5142830.667004862
4970000;6447937.600653175
4970000;5554783.15704961
4956000;5347432.561938558
