iter	RMSE
0	1855486.335
1	1827809.224
2	1802981.92
3	1775215.277
4	1752367.987
5	1731788.837
6	1709019.69
7	1692367.186
8	1672860.942
9	1654612.514
10	1634322.701
11	1614210.484
12	1596847.073
13	1579842.645
14	1561858.472
15	1541615.922
16	1526790.042
17	1511074.324
18	1496201.25
19	1482346.366
20	1465870.721
21	1453210.574
22	1436221.242
23	1422229.487
24	1407522.193
25	1394573.669
26	1380344.18
27	1368522.335
28	1358349.402
29	1347718.847
30	1334687.696
31	1323074.265
32	1311394.71
33	1299947.344
34	1288283.606
35	1276947.398
36	1265517.316
37	1253152.472
38	1246915.506
39	1235881.919
40	1226942.094
41	1217375.605
42	1210255.261
43	1201502.019
44	1192390.177
45	1183326.065
46	1175202.526
47	1166721.687
48	1157379.396
49	1151305.671
50	1143736.653
51	1136744.804
52	1128460.019
53	1120680.911
54	1113137.507
55	1107900.408
56	1100598.282
57	1095168.374
58	1088104.563
59	1082931.602
60	1078101.27
61	1071155.043
62	1066240.785
63	1061388.249
64	1056014.303
65	1049861.322
66	1044153.885
67	1039187.582
68	1035657.146
69	1030987.39
70	1026091.139
71	1021987.141
72	1017116.979
73	1013685.777
74	1011571.784
75	1007415.352
76	1002952.021
77	1000239.275
78	997892.9448
79	994508.6886
80	993362.3972
81	989614.4292
82	985987.2879
83	982526.888
84	977598.1951
85	974349.0963
86	971304.9699
87	967389.0279
88	964318.6371
89	961300.1035
90	958436.7294
91	957003.6918
92	953324.8612
93	950325.3125
94	948265.3432
95	945493.1325
96	943302.9909
97	938929.9495
98	937572.605
99	934156.3033
100	932682.1551
101	930702.4761
102	929585.5157
103	926933.1174
104	925245.1394
105	924851.4875
106	923353.9498
107	921969.4094
108	919737.5386
109	916826.9565
110	913315.0429
111	912416.8032
112	909035.793
113	907447.1796
114	904741.4956
115	902440.7852
116	900628.228
117	898541.1246
118	897348.1772
119	893635.1172
120	890679.4856
121	888612.3571
122	887161.7363
123	884907.0948
124	883370.4769
125	881158.6575
126	880458.9384
127	876618.9317
128	875247.7741
129	874153.3582
130	872501.2026
131	870636.4231
132	867478.6209
133	864913.9068
134	862969.3337
135	861310.8925
136	858340.13
137	857222.71
138	856736.8336
139	855349.8701
140	854091.483
141	852127.7206
142	849410.2292
143	848650.5229
144	846325.8157
145	844541.9704
146	844117.5453
147	843180.3066
148	841238.8657
149	840269.3749
150	837661.273
151	835116.0847
152	834092.5316
153	831897.7143
154	830884.668
155	830338.1034
156	829062.1965
157	827802.359
158	826630.7178
159	825187.8282
160	822669.0102
161	820667.8727
162	818987.3826
163	817701.3495
164	816902.2785
165	815980.6489
166	815654.1635
167	813439.5877
168	813141.105
169	810722.5436
170	809581.8067
171	807003.1295
172	806726.6154
173	806301.6966
174	804567.9876
175	803162.0406
176	801064.5728
177	799169.2655
178	797188.0324
179	796017.7749
180	794923.8694
181	793656.435
182	792065.0015
183	791112.4479
184	790443.173
185	790116.3158
186	788450.1881
187	787799.1521
188	785882.0701
189	784399.949
190	782869.2768
191	781811.6807
192	778963.8079
193	778479.5651
194	777913.5825
195	775708.1026
196	774502.9638
197	773801.1112
198	773403.1091
199	771946.6281
200	770775.6432
201	769497.2344
202	768873.8931
203	767305.04
204	766494.5653
205	764563.9608
206	763157.4803
207	762148.9933
208	759718.2713
209	757701.9318
210	756824.9215
211	755659.8
212	754961.5601
213	754658.9668
214	754392.324
215	753201.765
216	751446.6546
217	749636.0261
218	748896.3907
219	748287.3339
220	747072.8913
221	745909.0986
222	744554.8321
223	743921.733
224	743097.673
