iter	Passed	Remaining
0	148	148341
1	152	76084
2	156	52041
3	159	39771
4	163	32550
5	167	27739
6	171	24331
7	173	21474
8	176	19434
9	180	17850
10	183	16518
11	186	15390
12	190	14440
13	193	13633
14	197	12942
15	200	12349
16	204	11816
17	208	11354
18	211	10925
19	215	10543
20	218	10194
21	222	9894
22	224	9556
23	227	9255
24	230	8996
25	233	8763
26	236	8534
27	238	8288
28	241	8098
29	244	7911
30	247	7745
31	251	7599
32	253	7424
33	256	7280
34	258	7127
35	259	6955
36	262	6832
37	265	6725
38	266	6555
39	268	6451
40	271	6358
41	275	6281
42	278	6193
43	281	6115
44	284	6041
45	287	5959
46	290	5885
47	292	5802
48	295	5737
49	298	5679
50	302	5629
51	305	5572
52	308	5514
53	311	5452
54	313	5389
55	315	5319
56	318	5262
57	320	5199
58	323	5160
59	326	5117
60	329	5072
61	332	5024
62	335	4988
63	338	4951
64	341	4915
65	344	4878
66	347	4845
67	350	4810
68	353	4775
69	356	4732
70	358	4694
71	361	4654
72	363	4612
73	366	4585
74	369	4561
75	373	4535
76	375	4504
77	378	4472
78	381	4449
79	383	4405
80	385	4378
81	389	4358
82	391	4328
83	394	4303
84	397	4279
85	400	4254
86	403	4231
87	405	4200
88	408	4176
89	410	4152
90	413	4131
91	415	4097
92	416	4061
93	418	4032
94	419	3998
95	422	3976
96	424	3954
97	427	3935
98	430	3918
99	433	3900
100	436	3883
101	438	3860
102	441	3846
103	444	3828
104	446	3807
105	448	3782
106	451	3766
107	453	3743
108	455	3727
109	459	3714
110	462	3701
111	463	3675
112	465	3657
113	469	3646
114	472	3633
115	474	3612
116	475	3591
117	478	3578
118	479	3553
119	480	3522
120	481	3497
121	484	3485
122	486	3471
123	490	3462
124	493	3453
125	495	3435
126	498	3426
127	499	3405
128	503	3396
129	505	3384
130	508	3369
131	510	3356
132	512	3343
133	514	3322
134	516	3311
135	519	3298
136	521	3285
137	524	3273
138	527	3265
139	527	3241
140	530	3230
141	533	3223
142	536	3212
143	539	3204
144	540	3187
145	543	3179
146	546	3172
147	547	3150
148	549	3136
149	551	3127
150	554	3118
151	557	3109
152	560	3101
153	561	3085
154	564	3079
155	567	3072
156	569	3056
157	571	3045
158	573	3035
159	575	3023
160	576	3003
161	577	2988
162	581	2983
163	582	2970
164	585	2961
165	588	2955
166	590	2944
167	593	2938
168	596	2931
169	598	2921
170	601	2916
171	602	2901
172	604	2887
173	604	2870
174	606	2860
175	609	2852
176	610	2837
177	612	2826
178	614	2820
179	617	2810
180	618	2799
181	621	2794
182	624	2786
183	625	2773
184	626	2761
185	628	2749
186	630	2740
187	631	2729
188	634	2722
189	636	2713
190	638	2702
191	641	2699
192	643	2692
193	645	2680
194	647	2674
195	650	2669
196	652	2661
197	656	2657
198	658	2650
199	661	2644
200	663	2638
201	665	2629
202	667	2622
203	670	2616
204	672	2608
205	675	2603
206	678	2598
207	679	2587
208	681	2579
209	684	2575
210	686	2567
211	689	2561
212	691	2554
213	693	2545
214	694	2536
215	697	2531
216	699	2525
217	702	2519
218	703	2507
219	704	2496
220	705	2486
221	708	2483
222	711	2479
223	713	2471
224	713	2459
225	716	2452
226	718	2446
227	720	2438
228	721	2428
229	724	2423
230	727	2420
231	729	2414
232	732	2411
233	734	2403
234	736	2398
235	739	2395
236	741	2387
237	743	2381
238	746	2376
239	749	2372
240	752	2369
241	755	2365
242	756	2357
243	759	2354
244	762	2348
245	765	2345
246	768	2341
247	770	2337
248	773	2331
249	775	2326
250	777	2319
251	779	2314
252	782	2310
253	785	2307
254	787	2301
255	788	2292
256	791	2287
257	794	2283
258	797	2281
259	800	2277
260	802	2272
261	804	2266
262	807	2261
263	809	2258
264	812	2254
265	815	2251
266	817	2245
267	820	2241
268	823	2238
269	826	2235
270	829	2232
271	832	2227
272	835	2224
273	838	2220
274	840	2214
275	843	2211
276	845	2206
277	848	2202
278	851	2200
279	854	2196
280	857	2193
281	859	2189
282	862	2185
283	865	2181
284	867	2175
285	870	2172
286	873	2168
287	875	2165
288	878	2161
289	881	2158
290	884	2155
291	887	2151
292	890	2148
293	893	2145
294	896	2141
295	899	2138
296	902	2135
297	905	2132
298	908	2129
299	911	2126
300	914	2123
301	917	2120
302	920	2117
303	922	2113
304	925	2108
305	927	2103
306	930	2101
307	933	2097
308	935	2092
309	938	2089
310	940	2084
311	942	2079
312	944	2073
313	947	2069
314	949	2065
315	951	2058
316	953	2054
317	955	2048
318	957	2044
319	960	2040
320	962	2035
321	964	2030
322	966	2024
323	967	2019
324	969	2013
325	971	2008
326	974	2005
327	976	2000
328	978	1995
329	980	1990
330	982	1985
331	984	1980
332	986	1976
333	988	1971
334	990	1966
335	991	1959
336	992	1953
337	995	1948
338	996	1943
339	998	1938
340	1000	1933
341	1002	1929
342	1005	1926
343	1007	1920
344	1008	1915
345	1009	1909
346	1011	1904
347	1013	1899
348	1015	1893
349	1016	1887
350	1018	1883
351	1020	1878
352	1022	1874
353	1024	1870
354	1027	1866
355	1028	1861
356	1030	1856
357	1032	1850
358	1034	1846
359	1037	1843
360	1039	1839
361	1041	1835
362	1043	1830
363	1045	1827
364	1048	1823
365	1051	1821
366	1054	1819
367	1057	1816
368	1061	1815
369	1063	1810
370	1066	1807
371	1069	1804
372	1072	1802
373	1075	1800
374	1077	1795
375	1079	1791
376	1081	1787
377	1083	1783
378	1085	1778
379	1087	1773
380	1088	1768
381	1091	1765
382	1093	1762
383	1096	1759
384	1099	1757
385	1102	1754
386	1105	1751
387	1108	1748
388	1111	1745
389	1114	1743
390	1117	1740
391	1120	1738
392	1124	1736
393	1126	1732
394	1128	1729
395	1130	1724
396	1133	1721
397	1135	1717
398	1138	1714
399	1141	1711
400	1144	1709
401	1146	1704
402	1149	1702
403	1152	1700
404	1154	1696
405	1157	1693
406	1160	1690
407	1163	1688
408	1166	1685
409	1169	1683
410	1172	1680
411	1176	1678
412	1178	1675
413	1182	1673
414	1185	1670
415	1187	1666
416	1189	1663
417	1192	1660
418	1195	1657
419	1198	1655
420	1201	1652
421	1204	1649
422	1206	1646
423	1209	1642
424	1210	1638
425	1212	1633
426	1215	1630
427	1216	1626
428	1218	1621
429	1221	1618
430	1223	1615
431	1226	1612
432	1229	1609
433	1231	1605
434	1233	1602
435	1236	1599
436	1238	1595
437	1241	1593
438	1244	1590
439	1246	1586
440	1249	1583
441	1252	1581
