Feature;Coeficiente;Importancia_absoluta
AREA;2966935.348349714;2966935.348349714
BANHEIROS;2181051.0490230275;2181051.0490230275
ANDARES;1766142.3858168551;1766142.3858168551
FLAG_AGUA_MORNA;920712.3634115872;920712.3634115872
VAGAS_ESTACIONAMENTO;887097.4735002677;887097.4735002677
FLAG_AR_CONDICIONADO;831381.888757926;831381.888757926
FLAG_AREA_PREFERENCIAL;685372.0622761551;685372.0622761551
FLAG_QUARTO_HOSPEDE;601221.1514341306;601221.1514341306
FLAG_PORAO;487605.9470099796;487605.9470099796
QUARTOS;422934.1343647575;422934.1343647575
FLAG_CENTRO;363404.0064284849;363404.0064284849
MOBILIADA_2.0;218212.65834047063;218212.65834047063
MOBILIADA_0.0;-210569.79828548082;210569.79828548082
MOBILIADA_1.0;-7642.8600550358515;7642.8600550358515
