ID_RESIDENCIA;AREA;QUARTOS;BANHEIROS;ANDARES;FLAG_CENTRO;FLAG_QUARTO_HOSPEDE;FLAG_PORAO;FLAG_AGUA_MORNA;FLAG_AR_CONDICIONADO;VAGAS_ESTACIONAMENTO;FLAG_AREA_PREFERENCIAL;MOBILIADA;PRECO;PRECO_ESTIMADO
A1;7420;4.0;2.0;3;SIM;NAO;NAO;;SIM;2.0;SIM;SIM;13300000;8239445.324453307
A2;8960;4.0;4.0;4;SIM;NAO;;NAO;SIM;3.0;NAO;SIM;12250000;10359804.786333874
A3;9960;;2.0;2;SIM;NAO;SIM;NAO;NAO;2.0;SIM;PARCIALMENTE;12250000;7553090.176182646
A4;7500;4.0;2.0;2;SIM;NAO;SIM;NAO;SIM;3.0;SIM;SIM;12215000;8469831.74941436
A5;7420;4.0;1.0;2;SIM;SIM;SIM;NAO;SIM;2.0;NAO;SIM;11410000;6961376.690064805
A6;7500;3.0;3.0;1;SIM;NAO;SIM;NAO;SIM;2.0;SIM;PARCIALMENTE;10850000;8196051.125776501
A7;8580;4.0;3.0;4;SIM;NAO;NAO;NAO;SIM;2.0;SIM;PARCIALMENTE;10150000;9692021.094505817
A8;16200;5.0;3.0;2;SIM;NAO;NAO;NAO;NAO;0.0;NAO;NAO;10150000;8095030.42225476
A9;8100;4.0;1.0;2;SIM;SIM;SIM;NAO;SIM;2.0;SIM;SIM;9870000;7802879.143550372
A10;5750;;;4;SIM;SIM;NAO;NAO;SIM;1.0;SIM;NAO;9800000;6972934.743896639
A11;13200;3.0;1.0;2;SIM;NAO;SIM;;SIM;2.0;SIM;SIM;9800000;8448748.251088534
A12;6000;4.0;3.0;2;SIM;SIM;SIM;SIM;NAO;;NAO;PARCIALMENTE;9681000;7641063.368160151
A13;6550;;2.0;2;SIM;NAO;NAO;NAO;SIM;1.0;SIM;;9310000;6944534.54908631
A14;3500;4.0;;2;SIM;NAO;NAO;SIM;NAO;2.0;NAO;SIM;9240000;5461642.173694961
A15;7800;3.0;2.0;2;SIM;NAO;NAO;NAO;NAO;0.0;SIM;PARCIALMENTE;9240000;6043143.205011444
A16;6000;4.0;1.0;2;SIM;NAO;SIM;NAO;NAO;2.0;NAO;PARCIALMENTE;9100000;5308365.9380062865
A17;6600;4.0;2.0;2;SIM;SIM;SIM;NAO;SIM;1.0;SIM;NAO;9100000;7550436.467406929
A18;8500;3.0;2.0;4;SIM;NAO;NAO;NAO;SIM;2.0;NAO;SIM;8960000;8127476.909741962
A19;4600;3.0;2.0;2;SIM;SIM;NAO;NAO;SIM;2.0;NAO;SIM;8890000;6604129.045353616
A20;6420;3.0;2.0;2;SIM;NAO;NAO;NAO;SIM;1.0;SIM;PARCIALMENTE;8855000;6915287.885674249
A21;4320;3.0;1.0;2;SIM;NAO;SIM;SIM;NAO;2.0;NAO;PARCIALMENTE;8750000;5746677.946676433
A22;7155;3.0;2.0;1;SIM;SIM;SIM;NAO;SIM;2.0;NAO;NAO;8680000;6650943.290376214
A23;8050;3.0;1.0;1;SIM;SIM;SIM;NAO;SIM;1.0;NAO;SIM;8645000;6131400.0769979935
A24;4560;3.0;;2;SIM;SIM;SIM;NAO;SIM;1.0;NAO;SIM;8645000;5839915.374423988
